  -5.28024  -5.09384  -2.46848  -4.80609  -4.69841  -2.30585  -6.81638  -4.49475   6.69337  11.11536   8.89229   6.69337   4.49475   2.27213   2.30585   2.34921   2.40305   4.93697   5.09384   5.28024
   4.78577  -0.78660  -1.56448  -2.76022  -3.14759  -2.92271  -4.15315  -1.96133   3.69599   6.80789   6.41636   5.06159   3.70953   1.90156   0.76045   0.01558   0.65346   2.65183   4.70587   4.78577
   0.00000  -1.94270  -1.05931  -1.94579  -1.95986  -1.57275  -3.46623  -1.75378   3.94009   6.40429   4.66753   3.81666   4.25464   3.42104   1.36808  -0.60210   0.13435   2.91259   7.25085  13.13734
   0.00000  -1.60103  -0.11810  -0.13892   0.14290   0.92430  -0.01700   0.65109   4.02264   5.04764   1.58535   0.93734   4.38568   5.96471   1.69954  -4.00266  -4.20464  -0.69811   4.92984  12.12552
  -7.52080  -2.48706  -0.39330   0.68926   0.97153   2.61076   2.47825   1.74559   3.96287   6.12781   3.25526   3.23788   8.48307   9.88303   1.13340  -8.71583  -7.06137  -0.96169   5.50334  15.04160
  -3.52464  -1.05233  -0.14349   1.89523   2.42917   3.85735   3.52464   2.98164   4.12266   7.00082   6.41723   5.91409   9.42582  10.07581  -1.21334 -14.18935  -9.89646  -0.29896   7.55966  17.62318
   3.32678   0.23953   0.14625   3.40700   3.46070   2.46192   1.15935   2.05684   3.81723   7.32619   9.06546   7.95099   9.04956   9.54178  -1.93793 -16.10426 -10.72670   0.74309   9.51379  19.96069
  -3.16082  -1.84789  -0.73758   1.67354   0.88751  -1.08648  -2.20004   0.06926   3.25787   7.69588  10.48311   7.77593   6.62163   5.76509  -4.99965 -16.51791  -8.37824   4.35207  12.39996  15.80410
  -9.06609  -5.51676  -4.05415  -3.10783  -3.50935  -4.53259  -3.93501  -0.64185   2.87857   8.54018  11.28872   7.41895   4.70395  -0.43842 -10.64720 -16.59483  -2.65331  11.80067  19.02453  24.17623
  -8.71995  -8.83439  -7.51287  -6.33663  -6.63698  -7.17424  -4.44328  -0.10923   3.23648   9.40233  11.82993   7.86110   2.73650  -6.73859 -15.36098 -16.83712   0.68420  16.98845  22.94067  20.34654
 -16.86996 -12.22397 -10.16144  -9.13631  -8.94111  -8.42859  -3.94980   2.15070   6.14474  10.43305  11.58504   7.35131   0.59004  -9.15377 -16.01371 -14.91100   3.12330  18.87678  23.09807  22.49329
 -13.67303 -13.13551 -11.58837 -10.74308  -9.90266  -8.33728  -3.72547   2.79282   8.62631  13.11546  14.02436   9.64010   2.26777  -7.84971 -15.28438 -13.79256   2.21710  16.23349  18.60459  16.40764
 -18.71420 -14.19728 -12.00635 -10.20911  -7.92113  -5.60572  -1.66377   4.50730  10.58170  13.58667  14.03486  10.00418   2.28265  -6.07688 -10.94343  -8.81216   3.63371  13.96609  15.58584  18.71420
 -13.13253 -11.86559  -9.76221  -6.85298  -4.47972  -2.43902  -0.26475   5.17622  14.72698  20.42876  18.22276  12.13862   3.46695  -5.53857 -10.82692  -8.17756   1.48810   9.02233  12.09720  13.13253
 -10.36914  -8.79882  -6.87941  -3.65506  -1.78511   0.28860   2.43812   7.35310  15.59294  20.93327  18.36539  12.35962   4.30230  -3.49392  -8.38320  -6.25312   1.21511   7.38845  12.39529  18.14599
 -12.84735 -10.23121  -5.10656  -1.27725   0.00000   1.28409   2.57739   6.46514  20.74199  29.85845  22.06929  12.96374   5.17211  -3.86609 -12.84086 -10.23999   0.00000   5.10656  10.23121  12.84735
